ID xsim ysim
9 24.43 1.6914
10 0 -0.018793
10 0.37 4.2031
10 0.77 6.9202
10 1.02 7.9634
10 2.05 9.1688
10 3.55 9.2785
10 5.05 7.8946
10 7.08 6.1698
10 9.38 4.7165
10 12.1 3.7426
10 23.7 1.358
11 0 -0.0076223
11 0.25 1.5922
11 0.5 1.7527
11 0.98 3.247
11 1.98 5.639
11 3.6 6.0839
11 5.02 6.4969
11 7.03 6.3884
11 9.03 4.6617
11 12.12 3.9555
11 24.08 0.58377
12 0 -0.45421
12 0.25 3.6155
12 0.5 4.944
12 1 8.3256
12 2 9.7267
12 3.52 8.5517
12 5.07 7.7011
12 7.07 5.8571
12 9.03 4.8795
12 12.05 3.3538
12 24.15 1.2837
1 0 0.67886
1 0.25 3.3051
1 0.57 5.9993
1 1.12 6.7628
1 2.02 5.742
1 3.82 5.014
1 5.1 5.162
1 7.03 3.2315
1 9.05 1.9416
1 12.12 3.7328
1 24.37 0.26157
2 0 -0.19433
2 0.27 2.273
2 0.52 5.1935
2 1 5.3034
2 1.92 8.5282
2 3.5 7.9168
2 5.02 7.4291
2 7.03 6.2802
2 9 4.511
2 12 2.6997
2 24.3 0.82127
3 0 -0.087405
3 0.27 7.0185
3 0.58 9.8556
3 1.02 10.985
3 2.02 11.681
3 3.62 9.6759
3 5.08 9.4342
3 7.07 6.5481
3 9 6.3524
3 12.15 6.4797
3 24.17 2.1765
4 0 0.047018
4 0.35 3.1837
4 0.6 4.6036
4 1.07 7.2665
4 2.13 9.3061
4 3.5 5.997
4 5.02 5.8721
4 7.02 6.1558
4 9.02 4.4578
4 11.98 2.2577
4 24.65 0.97003
5 0 -0.16736
5 0.3 2.935
5 0.52 6.6707
5 1 7.3394
5 2.02 10.015
5 3.5 9.2487
5 5.02 7.3498
5 7.02 5.1632
5 9.1 4.3841
5 12 3.3202
5 24.35 1.5809
6 0 0.024283
6 0.27 2.4419
6 0.58 3.88
6 1.15 5.8188
6 2.03 6.4953
6 3.57 5.5872
6 5 5.4657
6 7 3.5389
6 9.22 3.0766
6 12.1 2.7155
6 23.85 0.84238
7 0 0.066689
7 0.25 4.6295
7 0.5 6.121
7 1.02 9.0384
7 2.02 10.051
7 3.48 8.2725
7 5 5.7397
7 6.98 6.2541
7 9 4.9954
7 12.05 4.0878
7 24.22 0.52026
8 0 0.42142
8 0.25 5.0207
8 0.52 5.8096
8 0.98 9.477
8 2.02 10.309
8 3.53 7.3848
8 5.05 6.858
8 7.15 5.6793
8 9.07 4.8871
8 12.1 3.7578
8 24.12 1.6273
9 0 -0.1631
9 0.3 0.8112
9 0.63 3.6162
9 1.05 4.1093
9 2.02 4.3035
9 3.53 5.0561
9 5.02 4.4324
9 7.17 3.7494
9 8.8 3.0028
9 11.6 3.1105
9 24.43 0.45447
10 0 0.1673
10 0.37 8.6358
10 0.77 13.343
10 1.02 10.728
10 2.05 11.603
10 3.55 10.135
10 5.05 10.624
10 7.08 9.3105
10 9.38 8.6951
10 12.1 5.8742
10 23.7 2.7686
11 0 0.12061
11 0.25 3.3654
11 0.5 5.8621
11 0.98 6.5219
11 1.98 10.821
11 3.6 10.324
11 5.02 9.9185
11 7.03 7.7815
11 9.03 5.7015
11 12.12 5.4114
11 24.08 1.8591
12 0 -0.21574
12 0.25 3.1041
12 0.5 5.04
12 1 8.487
12 2 9.2504
12 3.52 9.3617
12 5.07 8.4754
12 7.07 5.869
12 9.03 5.815
12 12.05 4.2002
12 24.15 1.1647
1 0 -0.21205
1 0.25 1.8383
1 0.57 4.3891
1 1.12 6
1 2.02 6.8473
1 3.82 6.8753
1 5.1 7.8381
1 7.03 4.5766
1 9.05 4.0966
1 12.12 3.5675
1 24.37 1.5077
2 0 0.69942
2 0.27 3.3472
2 0.52 4.6628
2 1 6.1365
2 1.92 7.133
2 3.5 5.2768
2 5.02 5.5675
2 7.03 4.4177
2 9 4.2935
2 12 1.6735
2 24.3 0.85513
3 0 -0.57949
3 0.27 1.5596
3 0.58 3.0529
3 1.02 3.533
3 2.02 4.6499
3 3.62 5.7341
3 5.08 6.5277
3 7.07 5.7081
3 9 4.3556
3 12.15 3.0334
3 24.17 1.2366
4 0 -0.15681
4 0.35 3.6416
4 0.6 6.4158
4 1.07 8.4249
4 2.13 9.0972
4 3.5 8.2568
4 5.02 6.2614
4 7.02 7.0517
4 9.02 4.3503
4 11.98 4.2629
4 24.65 1.2778
5 0 -0.093689
5 0.3 5.641
5 0.52 9.7129
5 1 12.925
5 2.02 7.3025
5 3.5 10.687
5 5.02 9.6472
5 7.02 8.0605
5 9.1 5.9583
5 12 3.6623
5 24.35 1.6632
6 0 -0.043039
6 0.27 3.2588
6 0.58 5.3424
6 1.15 6.3636
6 2.03 7.6839
6 3.57 6.0046
6 5 5.5186
6 7 4.4137
6 9.22 3.3238
6 12.1 2.7165
6 23.85 1.8023
7 0 0.45367
7 0.25 2.9192
7 0.5 4.9223
7 1.02 5.8071
7 2.02 9.0914
7 3.48 6.9763
7 5 6.8895
7 6.98 5.0894
7 9 4.4549
7 12.05 2.6071
7 24.22 0.87445
8 0 0.091392
8 0.25 0.39951
8 0.52 1.6986
8 0.98 3.7186
8 2.02 5.4361
8 3.53 6.5969
8 5.05 6.3526
8 7.15 5.1067
8 9.07 5.4932
8 12.1 3.6759
8 24.12 2.1381
9 0 0.20875
9 0.3 3.9934
9 0.63 4.7357
9 1.05 6.343
9 2.02 6.1766
9 3.53 4.8009
9 5.02 5.2098
9 7.17 3.9191
9 8.8 3.9424
9 11.6 2.7981
9 24.43 1.2085
10 0 0.077892
10 0.37 2.2389
10 0.77 4.7391
10 1.02 7.6722
10 2.05 9.0879
10 3.55 7.415
10 5.05 7.2151
10 7.08 5.4456
10 9.38 5.2528
10 12.1 3.8955
10 23.7 1.0011
11 0 0.51064
11 0.25 1.3076
11 0.5 2.7058
11 0.98 6.686
11 1.98 7.8673
11 3.6 8.1875
11 5.02 7.5705
11 7.03 7.4048
11 9.03 6.9037
11 12.12 4.2444
11 24.08 2.8336
12 0 -0.16153
12 0.25 2.5289
12 0.5 3.9992
12 1 7.6621
12 2 8.5244
12 3.52 8.0197
12 5.07 9.424
12 7.07 7.4399
12 9.03 4.683
12 12.05 3.2065
12 24.15 1.2415
1 0 -0.082679
1 0.25 1.9859
1 0.57 3.0008
1 1.12 6.4715
1 2.02 7.4637
1 3.82 7.5086
1 5.1 6.3023
1 7.03 5.1533
1 9.05 4.3521
1 12.12 3.1511
1 24.37 2.0806
2 0 -0.16357
2 0.27 4.8951
2 0.52 5.6317
2 1 6.0027
2 1.92 6.6855
2 3.5 5.68
2 5.02 4.6212
2 7.03 3.2295
2 9 3.7462
2 12 2.2918
2 24.3 0.46634
3 0 -0.44945
3 0.27 4.4047
3 0.58 7.5467
3 1.02 8.8895
3 2.02 10.071
3 3.62 11.595
3 5.08 9.9451
3 7.07 6.7595
3 9 7.3694
3 12.15 4.551
3 24.17 1.8959
4 0 0.028019
4 0.35 7.1409
4 0.6 9.1739
4 1.07 10.026
4 2.13 9.4478
4 3.5 7.7032
4 5.02 6.7127
4 7.02 5.6007
4 9.02 3.3933
4 11.98 3.6676
4 24.65 0.89046
5 0 -0.026968
5 0.3 7.93
5 0.52 10.793
5 1 12.435
5 2.02 11.548
5 3.5 9.0046
5 5.02 7.6266
5 7.02 6.9897
5 9.1 5.2525
5 12 5.2622
5 24.35 1.0037
6 0 0.26531
6 0.27 6.0121
6 0.58 10.642
6 1.15 8.439
6 2.03 7.8584
6 3.57 5.8254
6 5 7.1159
6 7 5.3755
6 9.22 4.6025
6 12.1 3.521
6 23.85 1.6924
7 0 0.56235
7 0.25 3.5754
7 0.5 7.0395
7 1.02 7.2749
7 2.02 8.1525
7 3.48 7.6183
7 5 6.4527
7 6.98 5.5355
7 9 3.3141
7 12.05 3.1234
7 24.22 1.1901
8 0 0.12216
8 0.25 5.2937
8 0.52 9.0221
8 0.98 9.5007
8 2.02 7.5998
8 3.53 6.755
8 5.05 7.6458
8 7.15 5.4806
8 9.07 4.7549
8 12.1 3.2961
8 24.12 1.2193
9 0 0.24404
9 0.3 1.6233
9 0.63 3.9526
9 1.05 5.3042
9 2.02 4.2973
9 3.53 3.8947
9 5.02 2.8817
9 7.17 2.1673
9 8.8 2.5687
9 11.6 0.58965
9 24.43 0.2918
10 0 -0.25927
10 0.37 0.84923
10 0.77 0.79351
10 1.02 2.8871
10 2.05 4.1336
10 3.55 6.2135
10 5.05 5.6757
10 7.08 4.8959
10 9.38 5.8748
10 12.1 5.1112
10 23.7 1.2912
11 0 0.26162
11 0.25 3.545
11 0.5 7.0723
11 0.98 6.8735
11 1.98 8.614
11 3.6 10.067
11 5.02 8.7198
11 7.03 7.3932
11 9.03 5.746
11 12.12 5.1112
11 24.08 2.3066
12 0 0.37504
12 0.25 4.0111
12 0.5 8.417
12 1 8.3212
12 2 9.0558
12 3.52 6.7409
12 5.07 8.0242
12 7.07 6.3832
12 9.03 5.7952
12 12.05 3.0522
12 24.15 1.2588
1 0 -0.51225
1 0.25 4.361
1 0.57 6.2168
1 1.12 8.6966
1 2.02 8.054
1 3.82 7.4218
1 5.1 7.4273
1 7.03 5.4478
1 9.05 6.4454
1 12.12 4.1788
1 24.37 1.7549
2 0 -0.023494
2 0.27 4.1389
2 0.52 5.7497
2 1 7.2972
2 1.92 10.112
2 3.5 7.6049
2 5.02 5.2564
2 7.03 4.6871
2 9 3.8428
2 12 1.6109
2 24.3 1.3502
3 0 -0.30659
3 0.27 2.87
3 0.58 5.671
3 1.02 6.5111
3 2.02 8.2234
3 3.62 7.7883
3 5.08 5.9125
3 7.07 6.0078
3 9 4.8933
3 12.15 4.1107
3 24.17 1.6465
4 0 -0.038096
4 0.35 3.8409
4 0.6 4.6334
4 1.07 7.1323
4 2.13 8.802
4 3.5 7.6909
4 5.02 5.8212
4 7.02 5.0797
4 9.02 4.0819
4 11.98 3.3317
4 24.65 0.58026
5 0 -0.0092776
5 0.3 4.1094
5 0.52 6.4101
5 1 9.247
5 2.02 11.836
5 3.5 13.791
5 5.02 11.746
5 7.02 9.7536
5 9.1 7.9416
5 12 5.7583
5 24.35 2.2166
6 0 0.51569
6 0.27 4.3562
6 0.58 7.5792
6 1.15 8.4733
6 2.03 6.8299
6 3.57 6.0903
6 5 5.2652
6 7 5.5457
6 9.22 4.7996
6 12.1 3.1267
6 23.85 0.48373
7 0 0.489
7 0.25 4.4995
7 0.5 7.1103
7 1.02 9.3897
7 2.02 8.1811
7 3.48 7.9826
7 5 6.893
7 6.98 6.4759
7 9 5.2704
7 12.05 3.6038
7 24.22 1.2042
8 0 0.10339
8 0.25 2.1568
8 0.52 5.109
8 0.98 5.7559
8 2.02 7.4607
8 3.53 6.2876
8 5.05 6.223
8 7.15 5.3701
8 9.07 4.3745
8 12.1 3.8639
8 24.12 0.64963
9 0 -0.12042
9 0.3 1.1388
9 0.63 4.1878
9 1.05 3.6883
9 2.02 5.6845
9 3.53 6.7885
9 5.02 6.0419
9 7.17 3.5054
9 8.8 3.7724
9 11.6 3.3793
9 24.43 0.38957
10 0 0.090181
10 0.37 2.0396
10 0.77 3.1994
10 1.02 4.3215
10 2.05 7.7222
10 3.55 7.2642
10 5.05 8.098
10 7.08 6.1538
10 9.38 6.2747
10 12.1 5.7011
10 23.7 2.3222
11 0 -0.19981
11 0.25 9.0848
11 0.5 9.2495
11 0.98 13.016
11 1.98 10.842
11 3.6 9.4596
11 5.02 9.0224
11 7.03 7.6205
11 9.03 5.778
11 12.12 4.6892
11 24.08 1.6522
12 0 0.087679
12 0.25 2.4845
12 0.5 5.5211
12 1 9.9354
12 2 9.3591
12 3.52 8.8521
12 5.07 8.43
12 7.07 7.73
12 9.03 4.6463
12 12.05 2.9202
12 24.15 1.1511
1 0 -0.36503
1 0.25 5.0341
1 0.57 6.817
1 1.12 7.5732
1 2.02 7.6223
1 3.82 4.4682
1 5.1 5.5896
1 7.03 4.9782
1 9.05 4.0333
1 12.12 2.6712
1 24.37 0.83203
2 0 -0.58165
2 0.27 6.7248
2 0.52 6.1538
2 1 9.1452
2 1.92 9.8739
2 3.5 8.0138
2 5.02 7.3271
2 7.03 5.3493
2 9 3.8623
2 12 4.1154
2 24.3 0.94879
3 0 0.14831
3 0.27 4.6287
3 0.58 5.4692
3 1.02 7.5814
3 2.02 8.3172
3 3.62 8.4821
3 5.08 6.328
3 7.07 5.6526
3 9 6.1343
3 12.15 4.5997
3 24.17 1.1019
4 0 0.14378
4 0.35 2.5725
4 0.6 3.0278
4 1.07 5.7316
4 2.13 8.23
4 3.5 6.9955
4 5.02 5.7647
4 7.02 5.008
4 9.02 4.2813
4 11.98 3.4039
4 24.65 1.6453
5 0 0.11455
5 0.3 0.41017
5 0.52 2.209
5 1 3.3984
5 2.02 6.4702
5 3.5 7.5706
5 5.02 7.4816
5 7.02 5.9924
5 9.1 5.1864
5 12 4.1307
5 24.35 0.89374
6 0 -0.25453
6 0.27 2.9982
6 0.58 5.5062
6 1.15 6.3984
6 2.03 7.5373
6 3.57 5.4733
6 5 5.072
6 7 6.1993
6 9.22 2.8837
6 12.1 3.1081
6 23.85 1.1772
7 0 -0.24917
7 0.25 1.3598
7 0.5 2.454
7 1.02 4.4496
7 2.02 7.276
7 3.48 8.0872
7 5 8.9587
7 6.98 8.4295
7 9 6.7419
7 12.05 3.3338
7 24.22 2.4996
8 0 -0.0447
8 0.25 5.5667
8 0.52 8.1264
8 0.98 10.388
8 2.02 7.6429
8 3.53 6.7087
8 5.05 8.0776
8 7.15 7.5941
8 9.07 6.9734
8 12.1 5.0771
8 24.12 1.791
9 0 0.10687
9 0.3 6.8701
9 0.63 7.7226
9 1.05 7.7815
9 2.02 7.5763
9 3.53 7.0773
9 5.02 5.7782
9 7.17 4.8448
9 8.8 3.6413
9 11.6 2.9153
9 24.43 1.6779
10 0 -0.55953
10 0.37 9.0689
10 0.77 13.384
10 1.02 17.244
10 2.05 14.225
10 3.55 12.753
10 5.05 13.474
10 7.08 12.283
10 9.38 10.282
10 12.1 8.4898
10 23.7 3.8687
11 0 0.1501
11 0.25 3.0977
11 0.5 5.9727
11 0.98 7.244
11 1.98 6.8433
11 3.6 6.3916
11 5.02 5.7786
11 7.03 5.1189
11 9.03 4.367
11 12.12 3.6614
11 24.08 1.2541
12 0 -0.074044
12 0.25 2.5147
12 0.5 5.4681
12 1 7.6437
12 2 9.5418
12 3.52 6.2739
12 5.07 5.8834
12 7.07 7.6647
12 9.03 4.2314
12 12.05 3.0968
12 24.15 1.842
1 0 0.10968
1 0.25 3.1913
1 0.57 4.0332
1 1.12 8.8165
1 2.02 8.0985
1 3.82 8.6104
1 5.1 6.2154
1 7.03 4.3044
1 9.05 5.0216
1 12.12 3.8474
1 24.37 1.1633
2 0 0.41966
2 0.27 1.8072
2 0.52 3.2796
2 1 6.7808
2 1.92 8.054
2 3.5 4.6381
2 5.02 5.0103
2 7.03 4.1562
2 9 4.3273
2 12 3.5533
2 24.3 0.51376
3 0 -0.20515
3 0.27 1.6982
3 0.58 2.6611
3 1.02 5.2359
3 2.02 6.968
3 3.62 6.2025
3 5.08 6.2119
3 7.07 3.7514
3 9 4.0307
3 12.15 2.1456
3 24.17 1.1374
4 0 0.086551
4 0.35 2.4709
4 0.6 4.3424
4 1.07 6.2519
4 2.13 8.8715
4 3.5 11.062
4 5.02 9.0041
4 7.02 10.09
4 9.02 7.6509
4 11.98 5.2578
4 24.65 2.9567
5 0 -0.035704
5 0.3 4.1875
5 0.52 5.6505
5 1 8.2918
5 2.02 11.154
5 3.5 12.297
5 5.02 9.3421
5 7.02 8.7039
5 9.1 6.1293
5 12 6.1642
5 24.35 3.7037
6 0 -0.10334
6 0.27 5.0546
6 0.58 5.9189
6 1.15 8.08
6 2.03 6.2277
6 3.57 5.7211
6 5 6.9193
6 7 4.8137
6 9.22 4.3895
6 12.1 2.9454
6 23.85 1.5172
7 0 0.0013311
7 0.25 4.3707
7 0.5 6.6361
7 1.02 10.004
7 2.02 8.9588
7 3.48 7.6181
7 5 7.2243
7 6.98 6.3411
7 9 6.4197
7 12.05 4.2487
7 24.22 1.4783
8 0 -0.38962
8 0.25 4.7575
8 0.52 7.4736
8 0.98 10.587
8 2.02 7.7061
8 3.53 6.6583
8 5.05 6.681
8 7.15 6.0753
8 9.07 4.3138
8 12.1 4.2799
8 24.12 1.0672
9 0 0.18258
9 0.3 1.0734
9 0.63 2.5958
9 1.05 2.3167
9 2.02 4.3726
9 3.53 6.1809
9 5.02 4.845
9 7.17 2.1267
9 8.8 3.2867
9 11.6 2.7657
9 24.43 0.30861
10 0 0.13075
10 0.37 6.1792
10 0.77 8.5027
10 1.02 10.125
10 2.05 11.614
10 3.55 12.215
10 5.05 10.199
10 7.08 7.7102
10 9.38 6.8729
10 12.1 6.0898
10 23.7 2.6468
11 0 -0.21701
11 0.25 3.8744
11 0.5 5.4386
11 0.98 8.085
11 1.98 7.9928
11 3.6 6.6316
11 5.02 6.526
11 7.03 5.103
11 9.03 4.1439
11 12.12 3.5387
11 24.08 1.3184
12 0 0.10175
12 0.25 4.3046
12 0.5 8.4186
12 1 10.339
12 2 10.875
12 3.52 10.026
12 5.07 9.3697
12 7.07 5.2192
12 9.03 7.1411
12 12.05 3.5059
12 24.15 1.1261
1 0 -0.2825
1 0.25 2.0172
1 0.57 4.5188
1 1.12 6.1918
1 2.02 7.9275
1 3.82 7.7092
1 5.1 6.5288
1 7.03 4.6413
1 9.05 3.9575
1 12.12 2.711
1 24.37 1.4355
2 0 0.32614
2 0.27 1.4328
2 0.52 3.4608
2 1 5.6682
2 1.92 8.6361
2 3.5 9.2166
2 5.02 8.0181
2 7.03 6.961
2 9 6.2991
2 12 5.4758
2 24.3 1.3519
3 0 0.092541
3 0.27 5.9569
3 0.58 8.1135
3 1.02 8.9093
3 2.02 10.611
3 3.62 6.3899
3 5.08 8.5209
3 7.07 5.9465
3 9 5.4025
3 12.15 5.291
3 24.17 1.9437
4 0 -0.070698
4 0.35 5.5305
4 0.6 7.1649
4 1.07 9.4725
4 2.13 9.4933
4 3.5 9.1224
4 5.02 7.6084
4 7.02 6.1642
4 9.02 5.2475
4 11.98 3.4508
4 24.65 0.73936
5 0 -0.092599
5 0.3 9.3241
5 0.52 9.3747
5 1 11.779
5 2.02 12.643
5 3.5 9.635
5 5.02 7.7134
5 7.02 6.2704
5 9.1 4.6069
5 12 3.0758
5 24.35 1.0878
6 0 0.18979
6 0.27 3.6217
6 0.58 4.948
6 1.15 6.9669
6 2.03 6.8613
6 3.57 6.4626
6 5 6.1577
6 7 4.9246
6 9.22 4.763
6 12.1 3.3366
6 23.85 1.4687
7 0 -0.086341
7 0.25 2.9141
7 0.5 4.544
7 1.02 7.2096
7 2.02 8.9177
7 3.48 9.4293
7 5 7.6326
7 6.98 6.2209
7 9 6.0024
7 12.05 3.9847
7 24.22 0.83557
8 0 -0.17598
8 0.25 0.92168
8 0.52 1.2136
8 0.98 4.7579
8 2.02 6.6079
8 3.53 9.0608
8 5.05 7.8336
8 7.15 7.5623
8 9.07 7.1497
8 12.1 5.4345
8 24.12 2.5176
9 0 0.14285
9 0.3 1.2957
9 0.63 2.3855
9 1.05 3.9937
9 2.02 4.5402
9 3.53 5.6643
9 5.02 5.5593
9 7.17 4.4286
9 8.8 3.1517
9 11.6 2.517
9 24.43 0.62938
10 0 -0.03149
10 0.37 8.6086
10 0.77 11.153
10 1.02 12.823
10 2.05 16.093
10 3.55 10.516
10 5.05 10.88
10 7.08 8.5102
10 9.38 6.9273
10 12.1 5.81
10 23.7 2.5494
11 0 -0.035403
11 0.25 2.103
11 0.5 2.65
11 0.98 3.2765
11 1.98 8.0044
11 3.6 8.5662
11 5.02 7.4545
11 7.03 6.8924
11 9.03 4.1366
11 12.12 4.1927
11 24.08 1.9153
12 0 -0.37413
12 0.25 3.941
12 0.5 5.6606
12 1 10.056
12 2 11.198
12 3.52 9.4308
12 5.07 7.8343
12 7.07 6.6455
12 9.03 4.4463
12 12.05 3.6327
12 24.15 1.5428
1 0 -0.053556
1 0.25 2.1947
1 0.57 4.5257
1 1.12 5.5195
1 2.02 6.7288
1 3.82 5.2265
1 5.1 5.0292
1 7.03 4.3394
1 9.05 4.1059
1 12.12 2.3915
1 24.37 0.97706
2 0 0.08584
2 0.27 6.8134
2 0.52 8.8499
2 1 8.2857
2 1.92 7.4812
2 3.5 6.4846
2 5.02 5.7074
2 7.03 4.6759
2 9 2.3955
2 12 3.3787
2 24.3 0.35719
3 0 -0.0056791
3 0.27 3.3718
3 0.58 5.2087
3 1.02 7.6718
3 2.02 9.7928
3 3.62 9.3385
3 5.08 8.6188
3 7.07 6.0908
3 9 6.2875
3 12.15 4.1723
3 24.17 2.132
4 0 0.13126
4 0.35 1.3554
4 0.6 2.1739
4 1.07 4.0867
4 2.13 5.3221
4 3.5 5.896
4 5.02 5.786
4 7.02 4.6393
4 9.02 3.3062
4 11.98 1.9824
4 24.65 0.76331
5 0 0.092369
5 0.3 2.6253
5 0.52 4.2655
5 1 6.5359
5 2.02 8.3616
5 3.5 8.3781
5 5.02 7.0181
5 7.02 6.7099
5 9.1 5.686
5 12 4.4277
5 24.35 1.9726
6 0 -0.45873
6 0.27 5.805
6 0.58 8.416
6 1.15 7.1716
6 2.03 6.8388
6 3.57 8.4741
6 5 7.4449
6 7 4.8555
6 9.22 4.8197
6 12.1 4.123
6 23.85 1.7416
7 0 0.25011
7 0.25 3.6292
7 0.5 5.4108
7 1.02 6.5803
7 2.02 7.0866
7 3.48 6.1453
7 5 4.9349
7 6.98 3.8643
7 9 3.3988
7 12.05 2.058
7 24.22 0.5322
8 0 -0.35207
8 0.25 5.3343
8 0.52 9.2263
8 0.98 8.3804
8 2.02 5.8608
8 3.53 8.7209
8 5.05 4.6338
8 7.15 6.2634
8 9.07 3.935
8 12.1 3.7481
8 24.12 1.3577
9 0 -0.36351
9 0.3 1.3022
9 0.63 3.6478
9 1.05 4.2857
9 2.02 4.5668
9 3.53 4.8259
9 5.02 4.9779
9 7.17 4.1241
9 8.8 3.3655
9 11.6 2.6234
9 24.43 1.18
10 0 -0.048576
10 0.37 7.3253
10 0.77 8.4306
10 1.02 9.7124
10 2.05 9.2544
10 3.55 8.3486
10 5.05 7.6209
10 7.08 5.5357
10 9.38 4.7296
10 12.1 2.8707
10 23.7 1.2055
11 0 0.16105
11 0.25 4.3023
11 0.5 6.0321
11 0.98 9.5891
11 1.98 8.9689
11 3.6 8.2413
11 5.02 10.112
11 7.03 7.5209
11 9.03 6.012
11 12.12 4.5958
11 24.08 1.4477
12 0 -0.12796
12 0.25 6.333
12 0.5 8.1809
12 1 10.737
12 2 10.813
12 3.52 9.3318
12 5.07 7.6375
12 7.07 6.0214
12 9.03 5.1174
12 12.05 3.6665
12 24.15 1.5047
1 0 0.013454
1 0.25 4.235
1 0.57 5.6097
1 1.12 6.4682
1 2.02 9.3897
1 3.82 8.7584
