Objects,Fields,Comments
,$wds,"\$ds, weighted by the \$obsSD"
"pop (class: PM_pop, R6)",$auc,Method: makeAUC() to calculate area under time concentration curve
"post (class: PM_post, R6)",$block,Same as for PMop objects above
NPAG only,$clone,Method: Create copy of PM_pop or PM_post object
,$data,"Data frame with all data fields, class: PM_pop_data or PM_post_data"
,$icen,Median (default) or mean of the parameter distributions used to calculate the predicted values.
,$id,Subject identification
,$initialize,"Method: Called by PM_pop\$new() or PM_post\$new(), creates new PM_pop or PM_post object, happens automatically at end of run, generally not a user function"
,$outeq,Output equation for each prediction
,$pred,Population prior (PMpop) or Bayesian posterior (PMpost) predictions for each output equation
,$time,"Time of each prediction at a frequency specified in the NPrun() command, with a default of 12 minutes."
"valid (class: PM_valid, R6)","Use the command str(valid.x) in R, where x is the run number",This is a list containing the information to perform graphical and numerical analysis of prediction checks and normalized prediction distribution errors.  It is a method of internal model validation.
This object will only be present if you have run $validate(…) after a run is completed. ,,
"valid$simdata (class: PM_sim, R6)",$amt,"A data frame with \$id, \$time, \$out, \$comp columns containing simulated amounts in each compartment."
,$auc,Method: calculate area under the curves of simulated profiles using makeAUC()
,$clone,Method: Create copy 
,$data,A  list with all the fields in \$simdata
,$obs,"A data frame with \$id, \$time, \$out, \$outeq columns containing simulated observations at each time and output equation number in the template data file.  If simulations from multiple template subjects have been combined (see Simulator Runs), then \$id will be of the form x.y, where x is the simulation number, and y is the template number."
,$parValues,"A data frame with \$id, ... columns containing the parameter value sets for each simulated subject with “...” signifying the columns named  according to the names of the random parameters in the model"
,$pta,Method: perform a probability of target attainment using PM_pta$new()
,$summary,Method: summarize simulation
,$totalSets,"The total number of simulated sets of parameters, which may be greater than the requested number if limits were specified in the simulation (see Simulator Runs)."
,$totalMeans,The means of the parameter values in the total simulated sets which can be used as a check of the adequacy of the simulation to reproduce the requested mean values when limits were applied.  The final truncated set will likely not have the requested mean values.
,$totalCov,The covariances of the parameter values in the total simulated sets which can be used as a check of the adequacy of the simulation to reproduce the requested covariance values when limits were applied.  The final truncated set will likely not have the requested covariance values.
valid$timeBinMedian (class: data frame),$bin,Time bin number 
,$time,Median time for each bin
valid$tadBinMedian (class: data frame),$bin,Time after dose bin number 
,$time,Median time after dose for each bin
valid$opDF (class: data frame),"$id, $time, $obs, $pred, $icen, $outeq, $block, $obsSD, $ds, $wd, $wds",See op above.
,$tad,Time after dose
,$PRED_bin,Median prediction for each bin
,$pcObs,Prediction corrected observation (based on bin)
,$timeBinNum,Number of each time bin
,$timeBinMedian,Median time for each bin
,$tadBinNum,Number of each time after dose bin
,$tadBinMedian,Median time after dose for each bin
valid$npde (class: NpdeObject),,A list of object suitable for plotting an npde.
